,player,response,round,rt
800,800,1,0,8.65
801,801,1,0,7.97
802,802,1,0,3.47
803,803,1,0,4.47
804,804,1,0,4.4
805,805,1,0,3.65
806,806,1,0,8.72
807,807,1,0,7.99
808,808,1,0,2.94
809,809,1,0,2.7
810,810,1,0,9.42
811,811,1,0,1.8
812,812,1,0,4.2
813,813,1,0,1.26
814,814,1,0,2.93
815,815,1,0,4.3100000000000005
816,816,1,0,3.02
817,817,1,0,2.3000000000000003
818,818,1,0,2.83
819,819,1,0,2.38
820,820,0,0,8.77
821,821,1,0,12.86
822,822,1,0,1.93
823,823,1,0,1.47
824,824,1,0,3.29
825,825,1,0,3.02
826,826,1,0,1.23
827,827,1,0,2.91
828,828,1,0,7.68
829,829,0,0,1.75
830,830,1,0,4.82
831,831,0,0,1.69
832,832,0,0,4.08
833,833,1,0,3.6
834,834,1,0,4.64
835,835,1,0,3.52
836,836,1,0,4.74
837,837,1,0,2.45
838,838,1,0,5.29
839,839,1,0,4.43
840,840,1,0,1.99
841,841,0,0,9.78
842,842,1,0,3.15
843,843,1,0,4.51
844,844,1,0,6.79
845,845,1,0,2.35
846,846,1,0,1.2
847,847,1,0,3.24
848,848,1,0,2.64
849,849,1,0,3.13
850,850,1,0,7.59
851,851,1,0,3.0100000000000002
852,852,1,0,3.24
853,853,1,0,2.57
854,854,1,0,10.32
855,855,1,0,6.36
856,856,1,0,2.43
857,857,1,0,2.05
858,858,1,0,4.32
859,859,1,0,11.46
860,860,1,0,4.22
861,861,1,0,1.34
862,862,1,0,1.12
863,863,1,0,6.99
864,864,0,0,7.46
865,865,1,0,2.02
866,866,1,0,2.42
867,867,1,0,2.54
868,868,1,0,3.39
869,869,1,0,1.7
870,870,1,0,9.16
871,871,1,0,2.9
872,872,1,0,4.36
873,873,1,0,3.14
874,874,0,0,2.29
875,875,1,0,7.07
876,876,1,0,1.18
877,877,1,0,7.3500000000000005
878,878,1,0,5.11
879,879,1,0,8.88
880,880,1,0,5.24
881,881,1,0,8.81
882,882,1,0,6.54
883,883,1,0,13.700000000000001
884,884,1,0,3.29
885,885,1,0,3.09
886,886,1,0,2.71
887,887,1,0,4.19
888,888,1,0,5.3500000000000005
889,889,1,0,5.57
890,890,1,0,5.74
891,891,1,0,3.44
892,892,1,0,3.99
893,893,1,0,5.67
894,894,0,0,3.83
895,895,1,0,5.22
896,896,1,0,3.12
897,897,1,0,1.73
898,898,1,0,7.79
899,899,1,0,6.5
900,900,1,0,5.8100000000000005
901,901,1,0,3.92
902,902,1,0,3.96
903,903,1,0,8.2
904,904,1,0,1.21
905,905,0,0,1.79
906,906,1,0,7.55
907,907,1,0,1.12
908,908,1,0,10.72
909,909,1,0,1.79
910,910,1,0,4.17
