round user time_start time_end time_php time_js
13 usuario6 1462278935.93 1462278925.62 -10315.3998852 14367
13 usuario13 1462278936.02 1462278932.88 -3134.79995728 20957
13 usuario14 1462278936.05 1462278914.42 -21631.7999363 2775
13 usuario1 1462278936.91 1462278919.42 -17492.8998947 7605
13 usuario9 1462278936.25 1462278936.21 -40.500164032 25274
13 usuario16 1462278936.17 1462278914.55 -21623.6000061 3574
13 usuario15 1462278935.94 1462278913.28 -22658.4000587 1806
13 usuario11 1462278936.68 1462278919.17 -17504.0001869 7248
13 usuario12 1462278936.87 1462278922.43 -14440.500021 11357
13 usuario8 1462278936.58 1462278917.05 -19530.8001041 5807
13 usuario10 1462278936.1 1462278932.96 -3136.10005379 21232
14 usuario3 1462278964.87 1462278939.57 -25307.4998856 1799
14 usuario2 1462278964.08 1462278940.41 -23671.0000038 2986
14 usuario5 1462278964.02 1462278939.81 -24206.0000896 2689
14 usuario4 1462278964.71 1462278941.05 -23657.200098 3659
14 usuario7 1462278964.49 1462278949.07 -15425.4000187 11393
14 usuario6 1462278964.46 1462278953.13 -11329.6000957 16145
14 usuario13 1462278964.08 1462278947.6 -16481.099844 10502
14 usuario14 1462278964.76 1462278944.18 -20576.5001774 7050
14 usuario1 1462278964.87 1462278940.04 -24830.8999538 2070
14 usuario9 1462278964.5 1462278964.46 -36.7000102997 27137
14 usuario16 1462278964.31 1462278943.71 -20599.9000072 6484
14 usuario15 1462278964.17 1462278938.43 -25737.8001213 1440
14 usuario11 1462278964.97 1462278951.56 -13403.3000469 13792
14 usuario12 1462278964.56 1462278945.99 -18570.3999996 8057
14 usuario8 1462278964.41 1462278946.89 -17511.0001564 9169
14 usuario10 1462278964.9 1462278959.72 -5178.40003967 22535
15 usuario3 1462278990.29 1462278971.32 -18966.0999775 5329
15 usuario2 1462278990.6 1462278966.82 -23786.2000465 1686
15 usuario5 1462278990.51 1462278977.85 -12661.9999409 12692
15 usuario4 1462278990.62 1462278971.07 -19548.3000278 5286
15 usuario7 1462278990.32 1462278976.95 -13365.7999039 11401
15 usuario6 1462278990.72 1462278983.49 -7225.69990158 17955
15 usuario13 1462278990.54 1462278987.4 -3145.79987526 22257
15 usuario14 1462278990.13 1462278968.53 -21595.5002308 2721
15 usuario1 1462278990.12 1462278971.58 -18542.7999496 5622
15 usuario9 1462278990.59 1462278990.56 -26.9999504089 24948
15 usuario16 1462278990.12 1462278968.29 -21823.6000538 2925
15 usuario15 1462278990.36 1462278966.68 -23682.8999519 1458
15 usuario11 1462278990.29 1462278972.76 -17536.1998081 6736
15 usuario12 1462278990.12 1462278973.49 -16630.300045 7866
