round player action_player opponent action_opponent payoff time_php time_js who_played
13 usuario9 C ['usuario1'] D 0 3801.80001259 3776 user
13 usuario10 D ['usuario8'] C 4 5043.90001297 5022 user
13 usuario11 D ['usuario14'] D 1 1866.19997025 1840 user
13 usuario12 D ['usuario16'] D 1 16525.3000259 16494 user
13 usuario13 C ['usuario4'] C 3 2964.8001194 2937 user
13 usuario14 D ['usuario11'] D 1 12891.2000656 12869 user
13 usuario15 C ['usuario2'] D 0 4035.69984436 4007 user
13 usuario16 D ['usuario12'] D 1 2461.69996262 2434 user
13 usuario17 C ['usuario7'] C 3 2530.40003777 2505 user
13 usuario18 D ['usuario5'] C 4 2559.60011482 2541 user
14 usuario1 D ['usuario16'] C 4 7890.60020447 7869 user
14 usuario2 D ['usuario13'] C 4 6511.39998436 6477 user
14 usuario3 C ['usuario18'] D 0 1973.50001335 1944 user
14 usuario4 C ['usuario10'] D 0 1167.00005531 1142 user
14 usuario5 D ['usuario8'] D 1 4692.8999424 4668 user
14 usuario6 D ['usuario12'] D 1 3821.59996033 3797 user
14 usuario7 C ['usuario15'] D 0 3683.6001873 3659 user
14 usuario8 D ['usuario5'] D 1 2474.80010986 2459 user
14 usuario9 D ['usuario17'] C 4 3785.70008278 3755 user
14 usuario10 D ['usuario4'] C 4 4300.69994926 4274 user
14 usuario11 D ['usuario14'] D 1 6378.49998474 6345 user
14 usuario12 D ['usuario6'] D 1 14687.100172 14656 user
14 usuario13 C ['usuario2'] D 0 1775.70009232 1746 user
14 usuario14 D ['usuario11'] D 1 7810.59980392 7779 user
14 usuario15 D ['usuario7'] C 4 26239.9997711 26213 user
14 usuario16 C ['usuario1'] D 0 1894.70005035 1869 user
14 usuario17 C ['usuario9'] D 0 2170.30000687 2146 user
14 usuario18 D ['usuario3'] C 4 2776.60012245 2759 user
15 usuario1 D ['usuario7'] C 4 5347.70011902 5315 user
15 usuario2 D ['usuario18'] C 4 4750.79989433 4724 user
15 usuario3 C ['usuario6'] D 0 3411.90004349 3386 user
15 usuario4 D ['usuario11'] D 1 984.300136566 961 user
15 usuario5 C ['usuario17'] C 3 5934.90004539 5904 user
15 usuario6 D ['usuario3'] C 4 2757.49993324 2733 user
15 usuario7 C ['usuario1'] D 0 2689.50009346 2664 user
15 usuario8 D ['usuario13'] C 4 1944.60010529 1917 user
15 usuario9 D ['usuario15'] D 1 2889.69993591 2862 user
15 usuario10 C ['usuario12'] D 0 1736.6001606 1710 user
15 usuario11 D ['usuario4'] D 1 14304.0001392 14271 user
15 usuario12 D ['usuario10'] C 4 3277.09984779 3252 user
15 usuario13 C ['usuario8'] D 0 2093.79982948 2066 user
15 usuario14 D ['usuario16'] C 4 3393.80002022 3369 user
15 usuario15 D ['usuario9'] D 1 16253.6001205 16221 user
15 usuario16 C ['usuario14'] D 0 3490.20004272 3465 user
15 usuario17 C ['usuario5'] C 3 2411.79990768 2384 user
15 usuario18 C ['usuario2'] D 0 3051.69987679 3025 user
16 usuario1 C ['usuario7'] D 0 3868.0999279 3844 user
16 usuario2 C ['usuario9'] D 0 4832.19981194 4808 user
16 usuario3 D ['usuario12'] D 1 1459.39993858 1432 user
16 usuario4 D ['usuario16'] D 1 1068.40014458 1040 user
16 usuario5 C ['usuario11'] D 0 2619.50016022 2595 user
16 usuario6 D ['usuario8'] C 4 2098.29998016 2073 user
16 usuario7 D ['usuario1'] C 4 2985.59999466 2959 user
16 usuario8 C ['usuario6'] D 0 7354.7000885 7294 user
16 usuario9 D ['usuario2'] C 4 3146.20018005 3119 user
16 usuario10 D ['usuario17'] C 4 5079.90002632 5047 user
16 usuario11 D ['usuario5'] C 4 16240.2999401 16212 user
16 usuario12 D ['usuario3'] D 1 2438.29989433 2413 user
16 usuario13 C ['usuario15'] D 0 1713.39988708 1687 user
16 usuario14 D ['usuario18'] C 4 3681.59985542 3655 user
16 usuario15 D ['usuario13'] C 4 10680.5999279 10650 user
16 usuario16 D ['usuario4'] D 1 4375.60009956 4349 user
16 usuario17 C ['usuario10'] D 0 2654.90007401 2630 user
16 usuario18 C ['usuario14'] D 0 2220.19982338 2200 user
17 usuario1 C ['usuario12'] D 0 5571.19989395 5538 user
17 usuario2 D ['usuario6'] D 1 1807.60002136 1788 user
17 usuario3 D ['usuario5'] D 1 1316.6000843 1291 user
17 usuario4 D ['usuario8'] D 1 1086.19999886 1056 user
17 usuario5 D ['usuario3'] D 1 7266.90006256 7237 user
17 usuario6 D ['usuario2'] D 1 1953.49979401 1927 user
17 usuario7 D ['usuario11'] D 1 5982.00011253 5951 user
17 usuario8 D ['usuario4'] D 1 2250.49996376 2225 user
17 usuario9 D ['usuario10'] D 1 5820.39999962 5782 user
17 usuario10 D ['usuario9'] D 1 12146.1000443 12084 user
17 usuario11 D ['usuario7'] D 1 19862.3998165 19830 user
17 usuario12 D ['usuario1'] C 4 9765.69986343 9736 user
17 usuario13 C ['usuario17'] C 3 2452.90017128 2426 user
17 usuario14 D ['usuario15'] D 1 2848.50001335 2821 user
17 usuario15 D ['usuario14'] D 1 8851.09996796 8788 user
17 usuario16 D ['usuario18'] C 4 2459.10000801 2433 user
17 usuario17 C ['usuario13'] C 3 2942.50011444 2915 user
17 usuario18 C ['usuario16'] D 0 2908.39982033 2882 user
18 usuario1 D ['usuario8'] C 4 1902.29988098 1879 user
18 usuario2 C ['usuario7'] C 3 14487.6999855 14433 user
18 usuario3 D ['usuario6'] D 1 1231.69994354 1201 user
18 usuario4 C ['usuario11'] D 0 2702.70013809 2662 user
18 usuario5 D ['usuario18'] D 1 11196.7999935 11162 user
18 usuario6 D ['usuario3'] D 1 1878.90005112 1853 user
18 usuario7 C ['usuario2'] C 3 2646.60000801 2616 user
18 usuario8 C ['usuario1'] D 0 2581.19988441 2564 user
18 usuario9 D ['usuario15'] D 1 6194.49996948 6165 user
18 usuario10 D ['usuario16'] D 1 5622.30014801 5591 user
18 usuario11 D ['usuario4'] C 4 8001.60002708 7972 user
18 usuario12 D ['usuario13'] C 4 6911.29994392 6882 user
18 usuario13 C ['usuario12'] D 0 1111.09995842 1085 user
18 usuario14 D ['usuario17'] C 4 2306.9999218 2290 user
18 usuario15 D ['usuario9'] D 1 12798.9001274 12778 user
18 usuario16 D ['usuario10'] D 1 1379.19998169 1352 user
18 usuario17 C ['usuario14'] D 0 2328.40013504 2299 user
18 usuario18 D ['usuario5'] D 1 4782.50002861 4757 user
19 usuario1 D ['usuario12'] D 1 2466.59994125 2440 user
19 usuario2 D ['usuario14'] D 1 6817.60001183 6784 user
19 usuario3 D ['usuario11'] D 1 2092.70000458 2066 user
19 usuario4 D ['usuario18'] D 1 1805.80019951 1777 user
19 usuario5 D ['usuario15'] D 1 2698.70018959 2674 user
19 usuario6 D ['usuario9'] C 4 1978.89995575 1952 user
19 usuario7 C ['usuario16'] D 0 2848.99997711 2820 user
19 usuario8 D ['usuario13'] C 4 1164.10017014 1142 user
19 usuario9 C ['usuario6'] D 0 3076.29990578 3051 user
19 usuario10 D ['usuario17'] C 4 4416.30005836 4391 user
19 usuario11 D ['usuario3'] D 1 14552.1001816 14520 user
19 usuario12 D ['usuario1'] D 1 6485.80002785 6452 user
19 usuario13 C ['usuario8'] D 0 1671.50020599 1647 user
19 usuario14 D ['usuario2'] D 1 2849.69997406 2822 user
19 usuario15 D ['usuario5'] D 1 8823.39978218 8794 user
19 usuario16 D ['usuario7'] C 4 1329.99992371 1303 user
19 usuario17 C ['usuario10'] D 0 2584.70010757 2557 user
19 usuario18 D ['usuario4'] D 1 2105.50022125 2081 user
20 usuario1 D ['usuario11'] D 1 3424.90005493 3398 user
20 usuario2 C ['usuario9'] D 0 2122.29990959 2094 user
20 usuario3 D ['usuario4'] D 1 855.299949646 826 user
20 usuario4 D ['usuario3'] D 1 1766.90006256 1740 user
20 usuario5 D ['usuario10'] D 1 7240.90003967 7218 user
20 usuario6 D ['usuario12'] D 1 2434.90004539 2408 user
20 usuario7 C ['usuario13'] C 3 4000.20003319 3971 user
20 usuario8 D ['usuario18'] D 1 2425.59981346 2397 user
20 usuario9 D ['usuario2'] C 4 3267.89999008 3242 user
20 usuario10 D ['usuario5'] D 1 4027.69994736 4009 user
20 usuario11 D ['usuario1'] D 1 5855.59988022 5823 user
20 usuario12 D ['usuario6'] D 1 10819.9999332 10788 user
20 usuario13 C ['usuario7'] C 3 2124.19986725 2099 user
20 usuario14 D ['usuario15'] D 1 2135.20002365 2111 user
20 usuario15 D ['usuario14'] D 1 4347.19991684 4319 user
20 usuario16 D ['usuario17'] D 1 1179.69989777 1162 user
20 usuario17 D ['usuario16'] D 1 1847.89991379 1822 user
20 usuario18 D ['usuario8'] D 1 2246.09994888 2217 user
21 usuario1 C ['usuario17'] D 0 2882.80010223 2856 user
21 usuario2 C ['usuario3'] D 0 1997.20001221 1973 user
21 usuario3 D ['usuario2'] C 4 1276.99995041 1253 user
21 usuario4 D ['usuario5'] C 4 1048.59995842 1022 user
21 usuario5 C ['usuario4'] D 0 2769.29998398 2744 user
21 usuario6 D ['usuario7'] C 4 2502.4998188 2476 user
21 usuario7 C ['usuario6'] D 0 2824.09977913 2794 user
21 usuario8 C ['usuario14'] D 0 1809.49997902 1785 user
21 usuario9 D ['usuario10'] C 4 2176.69987679 2160 user
21 usuario10 C ['usuario9'] D 0 3204.69999313 3178 user
21 usuario11 D ['usuario18'] D 1 12183.4998131 12155 user
21 usuario12 D ['usuario13'] C 4 3428.40003967 3399 user
21 usuario13 C ['usuario12'] D 0 1686.69986725 1660 user
21 usuario14 D ['usuario8'] C 4 2448.4000206 2419 user
21 usuario15 D ['usuario16'] D 1 8900.30002594 8872 user
21 usuario16 D ['usuario15'] D 1 1952.3999691 1925 user
21 usuario17 D ['usuario1'] C 4 2002.59995461 1977 user
21 usuario18 D ['usuario11'] D 1 2767.40002632 2741 user
22 usuario1 D ['usuario2'] D 1 2714.20001984 2686 user
22 usuario2 D ['usuario1'] D 1 10182.8999519 10137 user
22 usuario3 C ['usuario15'] D 0 2531.50010109 2505 user
22 usuario4 C ['usuario7'] C 3 1876.80006027 1852 user
22 usuario5 C ['usuario12'] D 0 4649.69992638 4622 user
22 usuario6 D ['usuario9'] D 1 1941.4999485 1914 user
22 usuario7 C ['usuario4'] C 3 2311.80000305 2282 user
22 usuario8 C ['usuario16'] C 3 1274.70016479 1251 user
