userid,rt,response,round,context,strategy
 55, 2.39, 0,39, 3,MCC
 55, 3.94, 1,40, 2,MCC
 55, 4.07, 0,41, 0,MCC
 55,11.65, 0,42, 2,MCC
 55,11.39, 0,43, 5,MCC
 55, 6.07, 0,44, 2,MCC
 55, 2.35, 0,45, 1,MCC
 55, 2.99, 0,46, 3,MCC
 55, 2.60, 0,47, 3,MCC
 55, 2.72, 0,48, 3,MCC
 55, 2.30, 0,49, 2,MCC
 55, 3.52, 0,50, 2,MCC
 55, 1.39, 0,51, 1,MCC
 55, 1.83, 0,52, 3,MCC
 55, 3.16, 0,53, 2,MCC
 55, 5.63, 1,54, 1,MCC
 55, 5.59, 0,55, 3,MCC
 55, 2.31, 0,56, 3,MCC
 55, 3.36, 0,57, 2,MCC
 55, 2.65, 0,58, 2,MCC
 33, 3.74, 1, 1,nan,MCC
 33, 2.57, 1, 2, 3,MCC
 33, 2.70, 1, 3, 5,MCC
 33, 1.99, 1, 4, 5,MCC
 33, 2.96, 1, 5, 5,MCC
 33, 2.96, 1, 6, 4,MCC
 33, 3.67, 1, 7, 5,MCC
 33, 3.94, 1, 8, 4,MCC
 33, 2.90, 1, 9, 3,MCC
 33, 4.31, 1,10, 3,MCC
 33, 1.74, 0,11, 2,MCC
 33, 2.56, 1,12, 2,MCC
 33, 6.41, 0,13, 1,MCC
 33, 4.82, 1,14, 2,MCC
 33, 2.04, 0,15, 1,MCC
 33, 2.09, 0,16, 2,MCC
 33, 2.29, 0,17, 2,MCC
 33, 2.35, 0,18, 2,MCC
 33, 2.25, 0,19, 2,MCC
 33, 2.49, 0,20, 2,MCC
 33, 1.75, 0,21, 1,MCC
 33, 2.76, 0,22, 2,MCC
 33, 2.24, 0,23, 1,MCC
 33, 2.77, 0,24, 2,MCC
 33, 3.56, 0,25, 0,MCC
 33,14.66, 0,26, 2,MCC
 33, 2.23, 0,27, 0,MCC
 33, 2.69, 0,28, 2,MCC
 33, 2.68, 0,29, 0,MCC
 33, 2.30, 0,30, 3,MCC
 33, 1.85, 0,31, 2,MCC
 33, 2.04, 0,32, 1,MCC
 33, 1.98, 0,33, 1,MCC
 33, 1.81, 0,34, 4,MCC
 33, 2.58, 0,35, 2,MCC
 33, 2.08, 0,36, 2,MCC
 33, 2.36, 0,37, 0,MCC
 33, 1.78, 0,38, 2,MCC
 33, 2.75, 0,39, 1,MCC
 33, 1.18, 0,40, 1,MCC
 33, 2.53, 0,41, 1,MCC
 33, 2.64, 1,42, 1,MCC
 33, 2.49, 1,43, 2,MCC
 33, 3.36, 1,44, 2,MCC
 33, 2.97, 1,45, 1,MCC
 33, 2.96, 0,46, 1,MCC
 33, 2.51, 0,47, 1,MCC
 33, 2.46, 0,48, 2,MCC
 33, 1.87, 0,49, 0,MCC
 33, 1.73, 0,50, 3,MCC
 33, 1.82, 0,51, 0,MCC
 33, 1.91, 0,52, 2,MCC
 33, 1.59, 0,53, 2,MCC
 33, 3.24, 0,54, 0,MCC
 33, 2.48, 0,55, 2,MCC
 33, 3.95, 0,56, 1,MCC
 33, 1.74, 0,57, 2,MCC
 33, 1.64, 0,58, 1,MCC
 92, 5.49, 1, 1,nan,MCC
 92,16.26, 1, 2, 3,MCC
 92,10.43, 1, 3, 5,MCC
 92,13.24, 1, 4, 5,MCC
 92, 8.14, 0, 5, 4,MCC
